tmid|title|decade|constr|land|floor|cv|lv|iv|lastSale|lastSaleDate|lat|lon
6114065395|16 Gorrie Street, Nelson South, Nelson|1940|XF|620|150|630000|385000|245000|495000|2019-04-30|-41.28224563598633|173.26992797851562
6104877044|6 Ruth Taylor Avenue, Stoke, Nelson|2000|BI|705|207|900000|420000|480000|180000|2006-10-03|-41.31239700317383|173.2186737060547
5532971914|200 Collingwood Street, Nelson|1930|WI|692|298|1720000|820000|900000|885000|2018-07-11|-41.27918243408203|173.28614807128906
6104541481|3 Piwakawaka Drive, Stoke, Nelson|2010|RI|520|171|860000|355000|505000|852500|2020-03-24|-41.32390213012695|173.230224609375
6079187008|15 Washington Road, Washington Valley, Nelson|1960|WI|774|160|620000|385000|235000||2014-09-04|-41.27334976196289|173.2748565673828
5930848760|32 Brunner Street, Nelson South, Nelson|1940|WT|625|122|720000|350000|370000|312000|2013-02-14|-41.2942008972168|173.2706756591797
6101420908|1/20 Van Diemen Street, Nelson South, Nelson|1960|CT|0|114|630000|485000|145000|288500|2015-01-21|-41.283470153808594|173.28004455566406
6012638172|4 Persico Way, The Wood, Nelson|2000|BT|400|165|1000000|580000|420000|676100|2016-09-15|-41.2679328918457|173.29376220703125
5888774859|5 Albano Way, The Wood, Nelson|2000|BT|1001|198|960000|570000|390000|562500|2011-05-18|-41.2700309753418|173.29293823242188
5750958235|129 Cleveland Terrace, Maitai, Nelson|1990|WI|469|95|740000|430000|310000|405000|2014-03-24|-41.2778205871582|173.30093383789062
6077521522|384A Hardy Street East, Maitai, Nelson|1980|WI|609|140|960000|640000|320000||1999-09-24|-41.275047302246094|173.29473876953125
6031028205|5 Orakei Street, Tahunanui, Nelson|1940|RI|515|205|865000|470000|395000|870000|2023-05-19|-41.286781311035156|173.25140380859375
5906761703|10E Village Lane, Stoke, Nelson|2010|XI|817|174|790000|420000|370000|850000|2021-08-31|-41.32817840576172|173.24046325683594
5941032933|934 Atawhai Drive, Marybank, Nelson|1890|WI|1353|190|1000000|410000|590000|710000|2017-10-25|-41.2231559753418|173.32484436035156
5788310112|45 Alton Street, Nelson|1920|WI|379|114|1010000|710000|300000|519000|2015-09-15|-41.277870178222656|173.28990173339844
5766783417|25 Clovelly Street, Atawhai, Nelson|1990|RI|404|180|760000|295000|465000|205500|1997-01-14|-41.238773345947266|173.32203674316406
5920402562|38 Mount Street, Nelson South, Nelson|1890|WI|688|197|980000|595000|385000|215000|1995-03-20|-41.27825927734375|173.2775115966797
5969731326|35 Konini Street, Nelson South, Nelson|1990|FT|595|150|630000|305000|325000|570500|2020-01-22|-41.27922439575195|173.27528381347656
6064875981|52 Green Street, Tahunanui, Nelson|1950|WT|1146|149|890000|495000|395000|650000|2019-09-24|-41.2872428894043|173.24288940429688
6064828779|9 Henrietta Way, Washington Valley, Nelson|2000|FI|981|125|640000|325000|315000|555000|2020-02-26|-41.275978088378906|173.2718048095703
5959828752|48 Douglas Road, Wakatu, Nelson|1970|XI|759|170|750000|350000|400000|760000|2022-07-15|-41.296226501464844|173.2491912841797
6010957811|221 Nile Street East, Maitai, Nelson|1960|WT|607|185|790000|415000|375000|760000|2023-06-14|-41.27641677856445|173.30087280273438
5782013688|139 Barnett Avenue, Best Island, Richmond|1950|XI|809|159|840000|405000|435000|540000|2015-09-03|-41.3001708984375|173.16383361816406
