6114065395|Nelson / Tasman | Listed 3 Sep|16 Gorrie Street, Nelson South, Nelson|To be auctioned, 23 Sept|4|2|6+|150 m²|620 m²|https://trademe.tmcdn.co.nz/photoserver/large/2326891956.jpg
6104877044|Nelson / Tasman | Listed 28 Aug|6 Ruth Taylor Avenue, Stoke, Nelson|Price by negotiation|3|2|5|207 m²|705 m²|https://trademe.tmcdn.co.nz/photoserver/large/2325871531.jpg
5532971914|Nelson / Tasman | Listed 19 Sep|200 Collingwood Street, Nelson, Nelson|Asking price: $1,529,000|6+|3|2|298 m²|692 m²|https://trademe.tmcdn.co.nz/photoserver/large/2249528237.jpg
6104541481|Nelson / Tasman | Listed 28 Aug|3 Piwakawaka Drive, Stoke, Nelson|Enquiries over $909,000|4|2|4|171 m²|520 m²|https://trademe.tmcdn.co.nz/photoserver/large/2325803059.jpg
6079187008|Nelson / Tasman | Listed 12 Aug|15 Washington Road, Washington Valley, Nelson|Enquiries over $649,000|3|1|6+|160 m²|774 m²|https://trademe.tmcdn.co.nz/photoserver/large/2322807664.jpg
5930848760|Nelson / Tasman | Listed 12 May|32 Brunner Street, Nelson South, Nelson|Price by negotiation|4|2|0|120 m²|625 m²|https://trademe.tmcdn.co.nz/photoserver/large/2305748341.jpg
6101420908|Nelson / Tasman | Listed 26 Aug|1/20 Van Diemen Street, Nelson, Nelson|Deadline sale, 16 Sept|3|1|1|114 m²|610 m²|https://trademe.tmcdn.co.nz/photoserver/large/2325471867.jpg
6012638172|Nelson / Tasman | Listed 1 Jul|4 Persico Way, The Wood, Nelson|Enquiries over $950,000|3|2|3|165 m²|400 m²|https://trademe.tmcdn.co.nz/photoserver/large/2315436603.jpg
5888774859|Nelson / Tasman | Listed 17 Apr|5 Albano Way, The Wood, Nelson|Asking price: $960,000|3|2|2|198 m²|1,001 m²|https://trademe.tmcdn.co.nz/photoserver/large/2324436136.jpg
5750958235|Nelson / Tasman | Listed 26 Jan|129 Cleveland Terrace, Maitai, Nelson|Price by negotiation|3|1|2|100 m²|469 m²|https://trademe.tmcdn.co.nz/photoserver/large/2282919494.jpg
6077521522|Nelson / Tasman | Listed 11 Aug|384A Hardy Street East, Nelson, Nelson|Enquiries over $930,000|4|2|2|140 m²|609 m²|https://trademe.tmcdn.co.nz/photoserver/large/2322613211.jpg
6031028205|Nelson / Tasman | Listed 13 Jul|5 Orakei Street, Tahunanui, Nelson|Asking price: $925,000|4|2|4|205 m²|515 m²|https://trademe.tmcdn.co.nz/photoserver/large/2317459107.jpg
5906761703|Nelson / Tasman | Listed 28 Apr|10E Village Lane, Stoke, Nelson|Enquiries over $829,000|4|2|2|174 m²|817 m²|https://trademe.tmcdn.co.nz/photoserver/large/2302870498.jpg
5941032933|Nelson / Tasman | Listed 18 May|934 Atawhai Drive, Atawhai, Nelson|Enquiries over $975,000|5|2|4|190 m²|1,353 m²|https://trademe.tmcdn.co.nz/photoserver/large/2306919185.jpg
5788310112|Nelson / Tasman | Listed 17 Feb|45 Alton Street, Nelson, Nelson|Asking price: $925,000|3|1|114 m²|379 m²|https://trademe.tmcdn.co.nz/photoserver/large/2288522458.jpg
5766783417|Nelson / Tasman | Listed 4 Feb|25 Clovelly Street, Atawhai, Nelson|Enquiries over $789,000|5|2|4|180 m²|404 m²|https://trademe.tmcdn.co.nz/photoserver/large/2316819890.jpg
5920402562|Nelson / Tasman | Listed 6 May|38 Mount Street, Nelson South, Nelson|Enquiries over $929,000|4|2|2|197 m²|688 m²|https://trademe.tmcdn.co.nz/photoserver/large/2304536605.jpg
5969731326|Nelson / Tasman | Listed 4 Jun|35 Konini Street, Nelson South, Nelson|Enquiries over $669,000|3|1|4|150 m²|595 m²|https://trademe.tmcdn.co.nz/photoserver/large/2310457029.jpg
6064875981|Nelson / Tasman | Listed 3 Aug|52 Green Street, Tahunanui, Nelson|Enquiries over $860,000|3|2|2|148 m²|1,146 m²|https://trademe.tmcdn.co.nz/photoserver/large/2321200220.jpg
6064828779|Nelson / Tasman | Listed 3 Aug|9 Henrietta Way, Nelson, Nelson|Enquiries over $659,000|3|1|4|125 m²|981 m²|https://trademe.tmcdn.co.nz/photoserver/large/2321188640.jpg
5959828752|Nelson / Tasman | Listed 29 May|48 Douglas Road, Wakatu, Nelson|Enquiries over $750,000|3|1|1|170 m²|759 m²|https://trademe.tmcdn.co.nz/photoserver/large/2309338683.jpg
6010957811|Nelson / Tasman | Listed 30 Jun|221 Nile Street, Maitai, Nelson|Enquiries over $789,000|4|2|4|185 m²|607 m²|https://trademe.tmcdn.co.nz/photoserver/large/2315238678.jpg
5782013688|Nelson / Tasman | Listed 13 Feb|139 Barnett Avenue, Best Island, Tasman|Enquiries over $799,000|4|2|0|110 m²|809 m²|
